ITEM_ID,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01
220323,103.9013,100.4427,100.7424,102.7426,102.3819,102.4306,102.9281,102.9011,104.0574,104.6468,105.1138,105.4761,100.891766,100.511,100.7308,100.9251,99.8406,100.7046,100.8786,101.0787,101.5993,102.6919,102.9473,103.8068,100.6310762,100.8018,101.6805,104.365,105.9007,107.6865,108.5284,109.7827,110.028,111.4059,112.1717,112.6879,100.6260654,101.4486,101.8544,102.6021,103.1172,104.0038,104.5721,105.2446,105.2191,105.8986,106.3278,107.3188,99.76266973,101.9091,102.14,103.5903,104.1482,104.7065,105.17,105.5044,105.7512,106.3486,106.3204,106.6995,98.93907657
220324,103.6831,100.0829,100.2363,99.8227,99.847,99.9362,101.4086,102.5717,100.9727,101.613,101.4193,102.0507,99.83508197,100.0616,100.372,100.8721,101.4351,101.8982,102.9771,102.8683,103.0089,103.4858,103.7588,103.9391,100.7613112,100,100.2213,100.3629,100.6193,101.0643,101.2792,101.8573,102.1895,102.472,102.9956,103.6177,100.6483448,100.1812,100.5343,101.3266,101.7282,102.6114,102.6638,103.1323,103.246,103.418,105.0436,105.7038,101.8338981,100,100.3019,100.4953,100.5318,100.7716,101.2189,102.1095,103.6247,103.9587,104.1801,104.5762,100.996307
220326,105.1718,99.6349,99.8761,101.3363,103.011,104.1011,104.636,101.2088,101.2244,101.6292,103.2955,104.036,99.71154216,100.5424,100.7077,100.4255,100.2752,100.6794,100.5368,101.6183,101.9153,102.5879,102.9884,103.3468,100.5918906,100.241,101.2829,103.4883,106.8426,108.2661,109.4996,110.5059,110.6669,112.82,113.8326,115.4489,100.223822,101.0844,102.207,103.3721,104.0376,105.0594,104.9437,106.8165,107.0301,107.212,107.812,107.5789,100.8286011,99.9539,100.1558,100.8901,101.7546,102.3145,102.0551,101.9627,101.992,102.4637,102.4638,102.2446,100.0597587
220327,103.9253,99.8097,100.2501,100.2501,98.8916,100.9609,102.6803,101.7409,102.0797,101.6855,101.0392,100.9681,100.685365,100.1882,99.6274,99.8861,100.3304,100.5714,101.5688,101.5526,101.7542,101.6741,102.1618,102.4471,102.5636646,100.1868,100.8025,101.3462,102.0113,104.6801,104.8394,106.058,106.4599,109.5047,110.6919,110.7575,103.1557231,100.5584,100.9993,101.8916,102.3977,102.6367,103.4181,103.2916,103.6369,103.741,103.8087,103.821,100.2692134,100.1961,100.5961,101.2733,101.5025,101.6713,102.9957,103.3103,103.6507,103.624,104.0594,104.729,102.2155277
220328,,100.2416,100.4588,105.06,106.0601,104.9373,103.294,98.0244,101.7173,102.1382,102.6379,102.6667,99.97292209,100.9127,100.9126,100.9872,101.0019,101.5643,101.7429,102.384,102.8005,103.649,104.0099,104.8762,101.0809888,100.7564,101.2597,104.4613,106.2603,106.9079,108.013,110.8242,112.6045,113.5139,114.0756,115.9942,100.401227,100.5604,101.8991,103.1779,103.5874,104.5451,106.4069,106.9331,107.4015,107.4757,108.7255,109.1466,100.6234734,100.1937,100.3688,101.1856,102.0657,102.1244,102.3994,102.5622,102.9198,102.9714,103.4597,103.4248,100.4702934
220329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7671,101.399,102.1985,102.5919,102.8329,103.5277,103.5448,103.9426,104.4529,104.7216,104.9683,101.0957594
310102,102.2412,100.3104,100.3876,99.9734,99.9976,100.087,102.6982,100.9947,101.187,100.8891,100.6968,100.257,99.83512373,100.0616,100.372,100.8721,101.443,101.7538,101.7803,101.871,102.2583,103.8983,102.5373,102.29,99.6910744,100.038,102.215,103.6626,103.6659,103.4852,104.1744,104.5402,103.5598,104.3533,106.068,106.282,97.64089874,104.528,105.4639,106.4596,106.9621,107.3986,107.3866,108.3549,108.1036,109.5865,110.1998,110.4945,99.00528986,100.7597,100.8158,101.3262,101.702,101.833,101.9471,102.1046,101.9746,101.721,101.9316,102.2177,91.2809621
310109,101.9888,100.1826,100.3271,99.9131,99.9374,100.0267,101.9653,101.7412,101.7517,101.7762,101.5822,102.4373,99.83511865,100.0616,100.372,100.8721,101.6914,101.7901,101.7485,101.8021,101.9235,103.1852,103.7814,104.1003,100.1218056,100.2561,101.7183,103.0988,103.2205,103.3238,102.8293,103.0547,103.2677,103.7804,105.0657,105.861,98.71699682,103.3031,104.3429,105.188,105.7038,105.9079,105.9228,106.7342,106.5829,107.7996,108.1357,108.3037,99.66501606,101.2188,101.2767,102.0625,102.5659,102.6559,102.6653,102.7892,101.7634,101.8989,102.0646,102.0277,100.2532646
310110,101.6368,100.3108,99.7676,99.3559,99.3801,99.4688,100.8628,100.5286,100.8022,100.6114,100.4196,99.101,99.83511771,100.0616,100.372,100.8721,101.9568,102.2155,102.3579,102.3794,102.5975,103.7596,104.0933,104.5807,100.1424737,100.3114,101.4222,102.9816,103.4402,103.3837,103.6138,104.6619,104.9816,105.4182,106.9713,107.8018,100.0638208,101.8332,102.7754,103.4894,104.1386,104.3544,104.6094,105.6364,105.5407,106.7233,107.2263,107.5289,99.9571278,101.2203,101.5415,102.4138,102.6498,102.8374,103.1155,103.3049,103.4722,103.9567,104.1062,104.2566,100.2079485
310111,101.9704,99.5815,100.4209,100.0066,100.0308,100.1202,101.6343,102.2124,102.4047,102.2091,102.0143,102.6017,99.83509045,100.0616,100.372,100.8721,102.6488,102.3554,102.0786,102.3714,102.6348,103.8856,102.9397,103.9171,99.69899083,100.2301,101.8578,103.6212,103.7705,104.0953,103.9991,105.1058,105.3347,105.7893,107.2289,107.9687,99.77150785,102.3504,103.1155,103.6314,104.098,104.0809,103.938,104.8934,105.5718,106.1501,106.578,106.7597,100.0331586,100.7839,101.1159,101.885,102.2925,102.6415,102.8028,103.0554,103.1938,103.5946,103.5949,103.982,100.033852
310114,102.2994,100.4103,100.5471,100.1322,100.1565,100.246,102.285,102.4953,102.2541,102.3572,102.1621,102.0328,99.83505304,100.0616,100.372,100.8721,101.7923,101.2285,101.0607,101.3067,101.2136,102.9731,103.2081,103.5137,99.03172237,100.1911,101.4404,103.0619,102.949,103.1206,103.5026,103.8801,104.2424,104.3223,105.3917,106.1598,97.64835653,103.6739,104.9564,105.8032,106.347,106.6075,106.6111,107.0481,107.2455,107.5156,107.8686,107.8907,98.93827735,102.0272,102.1602,102.73,102.5552,102.5009,102.6612,102.8808,102.4495,101.2547,101.3915,101.6701,100.1809775
310301,103.3924,100.0939,100.6475,100.2321,100.2565,100.3461,102.8263,102.4188,100.0097,99.9167,99.7263,99.4114,99.83512957,100.0616,100.372,100.8721,100.1583,100.9283,103.4946,104.5709,104.7747,106.2966,88.7751,88.3676,98.60197629,100.6783,109.5834,111.2664,111.6442,112.1931,112.6526,112.8372,106.9123,107.1908,115.5335,116.9204,93.38276297,107.7547,108.809,109.5546,110.566,111.0842,111.4358,112.9201,113.614,114.3026,114.6896,115.1135,100.118318,101.0522,101.4088,102.4032,102.7094,102.7449,102.8551,103.0309,103.0719,102.7379,102.9081,103.2896,100.5332579
310302,103.1851,100.3674,100.8039,100.388,100.4124,100.5021,102.625,102.5079,99.3696,99.2484,99.0593,96.9993,99.83515345,100.0616,100.372,100.8721,101.7478,102.1203,105.4587,106.3265,106.9216,108.3143,109.1634,109.8458,100.498426,100.5469,101.5412,103.5682,103.8911,104.2434,104.6436,105.6943,105.8658,106.6957,107.7584,108.6912,99.83660131,102.0162,102.8352,103.5399,104.1515,104.3023,104.6936,105.9137,106.6147,107.5674,108.2171,108.2989,100.1029558,100.6583,101.1238,102.1653,102.5858,102.7424,102.9058,103.051,103.4536,103.6346,103.9004,104.0589,100.7909943
310306,102.0383,100.1169,100.3163,99.9023,99.9266,100.0159,101.7331,88.8011,101.0107,101.8884,101.6942,102.1774,99.8351886,100.0616,100.372,100.8721,102.1913,102.8982,103.2977,103.0746,103.3248,101.1228,101.2505,102.2002,99.95929558,100.1214,100.5174,101.1717,101.1981,101.4878,101.2017,101.3692,101.6081,101.9677,102.3298,102.6531,100.0233797,102.076,102.359,102.8602,103.3441,103.1652,103.5114,104.4309,104.6583,104.9858,104.6714,104.9477,100.2132491,98.0019,98.0319,98.6246,98.9182,99.2559,99.2885,99.1655,98.7731,99.2841,99.699,99.9259,99.57388425
310307,102.6811,100.3334,100.704,100.2885,100.3128,100.4024,102.4352,101.8923,97.5462,96.7359,96.5516,92.9472,99.83506765,100.0616,100.372,100.8721,102.0061,102.1248,107.5281,108.7707,109.7418,111.7283,111.2096,112.4843,100.6552025,100.4027,101.8345,104.0428,104.4289,104.7031,105.0032,106.4331,106.7183,107.3859,108.7566,109.7859,99.89352002,101.7799,102.8732,103.4622,103.7843,104.207,104.3057,105.5059,106.0447,107.0046,107.5627,107.5825,100.0881184,100.8653,101.0518,102.1689,102.7526,103.0056,103.1674,103.2461,103.8187,104.125,104.2903,104.4941,100.6261598
310310,103.9071,100.2646,100.2835,99.8697,99.8939,99.9832,102.095,101.7985,101.9551,102.4716,102.2763,103.0182,99.83507769,100.0616,100.372,100.8721,102.8033,102.1703,102.4645,102.7287,103.3171,104.1069,94.1886,94.0421,98.59647966,99.6843,103.1987,104.6971,105.0087,105.792,106.5759,108.2168,108.296,109.1142,111.0116,111.393,99.82476457,101.8297,102.1152,103.0986,104.8144,105.5138,105.8939,107.6546,108.2432,108.7058,109.1744,109.3738,100.3360951,100.6239,100.9442,102.2752,102.4107,103.3778,103.7469,104.1167,104.4873,104.849,104.9907,104.926,99.16646017
310315,101.844,99.9978,100.4681,100.0535,100.0778,100.1673,101.3401,100.8936,101.9852,102.0224,101.828,108.832,99.83515878,100.0616,100.372,100.8721,102.8277,103.1511,103.4159,103.5213,103.8776,104.0553,104.1303,104.6036,99.97342348,100.0655,100.4868,101.6814,102.2358,102.8679,103.1379,103.5959,104.9216,105.3734,105.4655,106.4528,100.463116,100.5112,100.8847,101.4392,102.1038,103.5014,103.7379,104.3306,104.9423,106.1506,106.3436,107.0627,100.1928776,100.276,100.8658,101.5844,102.044,102.3358,102.3959,102.5059,102.7893,103.5722,103.9204,104.0685,100.3702369
310316,,100.3634,100.8323,100.4162,100.4406,100.5304,102.1869,102.2886,98.6388,98.7868,98.5985,94.417,99.83509326,100.0616,100.372,100.8721,102.2179,102.828,106.3138,107.0688,107.8185,109.7068,102.3492,102.2363,99.13827085,100.3633,110.1941,112.1341,112.1057,112.8203,113.1384,114.5509,114.79,115.7312,117.0854,118.4546,93.95709411,108.0591,108.8466,110.2834,110.3612,110.4525,110.6022,111.7379,112.7691,113.8748,114.1577,114.4841,100.2250094,100.6264,100.5158,101.2809,101.6871,101.8856,101.8355,102.1179,102.1437,102.2747,102.5101,102.6093,100.6780087
410107,102.394,100,100,100,100,100,100,100,100,101.258,101.258,101.258,100,100,100,100,100,100,100,100,100,101.7898,101.7898,101.7898,100,100,100,100,100,100,100,100,100,103.8595,103.8595,103.8595,100,100,100,100,100,100,100,100,100,108.2767,108.2767,108.2767,100,100,100,100,100,100,100,100,100,105.1738,105.1738,105.1738,100
410401,103.5607,100,100,94.8574,94.8574,94.8574,94.8574,94.8574,94.8574,94.8574,94.8574,94.8574,100,100,100,100.8889,100.8889,100.8889,100.8889,100.8889,100.8889,100.8889,100.8889,100.8889,100,100,100,103.255,103.255,103.255,103.255,103.255,103.255,103.255,103.255,103.255,100,100,100,108.3724,108.3724,108.3724,108.3724,108.3724,108.3724,108.3724,108.3724,108.3724,100,100,100,109.199,109.199,109.199,109.199,109.199,109.199,109.199,109.199,109.199,100
410402,102.8746,100,100,98.0754,98.0754,98.0754,98.0754,98.0754,98.0754,98.0754,98.0754,98.0754,100,100,100,102.5303,102.5303,102.5303,102.5303,102.5303,102.5303,102.5303,102.5303,102.5303,100,100,100,104.3376,104.3376,104.3376,104.3376,104.3376,104.3376,104.3376,104.3376,104.3376,100,100,100,109.3049,109.3049,109.3049,109.3049,109.3049,109.3049,109.3049,109.3049,109.3049,100,100,100,106.7557,106.7557,106.7557,106.7557,106.7557,106.7557,106.7557,106.7557,106.7557,100
410403,101.5562,100,100,100.8757,100.8757,100.8757,100.8757,100.8757,100.8757,100.8757,100.8757,100.8757,100,100,100,102.474,102.474,102.474,102.474,102.474,102.474,102.474,102.474,102.474,100,100,100,104.1931,104.1931,104.1931,104.1931,104.1931,104.1931,104.1931,104.1931,104.1931,100,100,100,105,105,105,105,105,105,105,105,105,100,100,100,108.7882,108.7882,108.7882,108.7882,108.7882,108.7882,108.7882,108.7882,108.7882,100
410405,101.5703,100,100,100.8673,100.8673,100.8673,100.8673,100.8673,100.8673,100.8673,100.8673,100.8673,100,100,100,102.4673,102.4673,102.4673,102.4673,102.4673,102.4673,102.4673,102.4673,102.4673,100,100,100,104.1955,104.1955,104.1955,104.1955,104.1955,104.1955,104.1955,104.1955,104.1955,100,100,100,104.972,104.972,104.972,104.972,104.972,104.972,104.972,104.972,104.972,100,100,100,108.7725,108.7725,108.7725,108.7725,108.7725,108.7725,108.7725,108.7725,108.7725,100
